Customer ID,TotalPrice,Segment
12346.0,77556.46,High Value
12347.0,4921.53,High Value
12348.0,2019.4,High Value
12349.0,4428.69,High Value
12350.0,334.4,Low Value
12351.0,300.93,Low Value
12352.0,2849.84,High Value
12353.0,406.76,Low Value
12354.0,1079.4,High Value
12355.0,947.61,Medium Value
12356.0,6371.73,High Value
12357.0,18287.66,High Value
12358.0,3887.07,High Value
12359.0,8873.39,High Value
12360.0,4252.89,High Value
12361.0,511.25,Medium Value
12362.0,5356.23,High Value
12363.0,552.0,Medium Value
12364.0,1313.1,High Value
12365.0,641.38,Medium Value
12366.0,500.24,Medium Value
12367.0,168.9,Low Value
12368.0,917.6999999999999,Medium Value
12369.0,1791.15,High Value
12370.0,4316.56,High Value
12371.0,4067.38,High Value
12372.0,1298.04,High Value
12373.0,1127.65,High Value
12374.0,2989.2200000000003,High Value
12375.0,457.5,Low Value
12376.0,503.15,Medium Value
12377.0,3426.32,High Value
12378.0,5416.32,High Value
12379.0,1620.22,High Value
12380.0,9676.300000000001,High Value
12381.0,1845.31,High Value
12383.0,1850.56,High Value
12384.0,585.27,Medium Value
12385.0,1938.4,High Value
12386.0,401.9,Low Value
12387.0,143.94,Low Value
12388.0,3901.11,High Value
12389.0,1433.33,High Value
12390.0,549.84,Medium Value
12391.0,2724.84,High Value
12392.0,234.75000000000003,Low Value
12393.0,2399.4500000000003,High Value
12394.0,1272.48,High Value
12395.0,4721.17,High Value
12396.0,931.43,Medium Value
12397.0,2409.9,High Value
12398.0,1635.6599999999999,High Value
12399.0,1962.3,High Value
12400.0,205.25,Low Value
12401.0,84.3,Low Value
12402.0,1256.9,High Value
12403.0,1019.36,High Value
12404.0,63.24,Low Value
12405.0,1710.39,High Value
12406.0,6390.36,High Value
12407.0,1708.1200000000001,High Value
12408.0,4340.7699999999995,High Value
12409.0,23419.29,High Value
12410.0,1013.71,High Value
12411.0,346.9,Low Value
12412.0,2596.93,High Value
12413.0,999.45,Medium Value
12414.0,952.41,Medium Value
12415.0,144458.37,High Value
12416.0,202.56,Low Value
12417.0,6797.41,High Value
12418.0,2021.2,High Value
12419.0,503.01,Medium Value
12420.0,600.39,Medium Value
12421.0,1098.6,High Value
12422.0,5231.8,High Value
12423.0,2622.39,High Value
12424.0,3340.03,High Value
12425.0,1741.41,High Value
12426.0,1345.21,High Value
12427.0,825.8,Medium Value
12428.0,7956.46,High Value
12429.0,6204.41,High Value
12430.0,256.4,Low Value
12431.0,10432.22,High Value
12432.0,5059.32,High Value
12433.0,16794.14,High Value
12434.0,1103.43,High Value
12435.0,13925.93,High Value
12436.0,509.01,Medium Value
12437.0,12683.4,High Value
12438.0,2906.85,High Value
12439.0,1142.88,High Value
12440.0,859.2,Medium Value
12441.0,173.55,Low Value
12442.0,172.06,Low Value
12443.0,485.31,Low Value
12444.0,5005.46,High Value
12445.0,434.98,Low Value
12446.0,1002.3100000000001,High Value
12447.0,476.49,Low Value
12448.0,449.45,Low Value
12449.0,4835.89,High Value
12450.0,688.2,Medium Value
12451.0,12669.88,High Value
12452.0,430.57,Low Value
12453.0,707.09,Medium Value
12454.0,16679.78,High Value
12455.0,5879.95,High Value
12456.0,3181.04,High Value
12457.0,2995.91,High Value
12458.0,1777.49,High Value
12459.0,454.36,Low Value
12460.0,326.65,Low Value
12461.0,826.88,Medium Value
12462.0,1189.59,High Value
12463.0,1344.78,High Value
12464.0,1212.05,High Value
12465.0,742.1899999999999,Medium Value
12466.0,56.73,Low Value
12467.0,132.8,Low Value
12468.0,3670.74,High Value
12469.0,3070.54,High Value
12470.0,211.95,Low Value
12471.0,39918.19,High Value
12472.0,16249.289999999999,High Value
12473.0,3928.0499999999997,High Value
12474.0,12372.75,High Value
12475.0,1149.64,High Value
12476.0,14083.91,High Value
12477.0,20276.37,High Value
12478.0,680.99,Medium Value
12479.0,527.2,Medium Value
12480.0,5464.85,High Value
12481.0,12185.51,High Value
12482.0,23691.4,High Value
12483.0,5097.18,High Value
12484.0,6354.1,High Value
12485.0,708.1,Medium Value
12486.0,1037.28,High Value
12487.0,285.29999999999995,Low Value
12488.0,1298.66,High Value
12489.0,334.93,Low Value
12490.0,9823.64,High Value
12491.0,460.40000000000003,Low Value
12492.0,715.21,Medium Value
12493.0,433.74,Low Value
12494.0,1815.27,High Value
12495.0,357.4,Low Value
12496.0,45.34,Low Value
12497.0,6248.5,High Value
12498.0,403.70000000000005,Low Value
12499.0,393.72,Low Value
12500.0,5955.21,High Value
12501.0,2169.39,High Value
12502.0,3723.87,High Value
12503.0,1126.0,High Value
12504.0,779.05,Medium Value
12505.0,955.2,Medium Value
12506.0,73.5,Low Value
12507.0,1844.06,High Value
12508.0,397.88,Low Value
12509.0,176.5,Low Value
12510.0,5178.02,High Value
12511.0,3084.02,High Value
12512.0,132.18,Low Value
12513.0,612.29,Medium Value
12514.0,1597.76,High Value
12515.0,383.7,Low Value
12516.0,2648.62,High Value
12517.0,2481.6,High Value
12518.0,2056.89,High Value
12519.0,716.54,Medium Value
12520.0,2634.26,High Value
12521.0,599.68,Medium Value
12522.0,192.72,Low Value
12523.0,4352.35,High Value
12524.0,11126.11,High Value
12525.0,973.73,Medium Value
12526.0,1316.66,High Value
12527.0,735.51,Medium Value
12528.0,1933.48,High Value
12529.0,316.48,Low Value
12530.0,3759.26,High Value
12531.0,1933.2,High Value
12532.0,349.83000000000004,Low Value
12533.0,1367.89,High Value
12534.0,1089.18,High Value
12535.0,716.35,Medium Value
12536.0,12601.830000000002,High Value
12537.0,732.94,Medium Value
12538.0,640.45,Medium Value
12539.0,11214.75,High Value
12540.0,22254.49,High Value
12541.0,981.18,Medium Value
12542.0,481.88,Low Value
12543.0,980.25,Medium Value
12544.0,372.7,Low Value
12545.0,1000.39,High Value
12546.0,1161.5,High Value
12547.0,383.58,Low Value
12548.0,95.19999999999999,Low Value
12549.0,1575.68,High Value
12550.0,964.83,Medium Value
12551.0,168.0,Low Value
12552.0,437.82,Low Value
12553.0,4608.75,High Value
12554.0,468.5,Low Value
12555.0,129.23,Low Value
12556.0,599.56,Medium Value
12557.0,18096.14,High Value
12558.0,269.96,Low Value
12559.0,561.71,Medium Value
12560.0,2134.01,High Value
12561.0,238.85,Low Value
12562.0,4966.92,High Value
12563.0,249.24,Low Value
12564.0,456.9,Low Value
12565.0,145.92,Low Value
12566.0,351.65,Low Value
12567.0,11767.48,High Value
12568.0,70.0,Low Value
12569.0,4124.69,High Value
12570.0,77.52,Low Value
12571.0,519.61,Medium Value
12572.0,1020.42,High Value
12573.0,717.41,Medium Value
12574.0,218.45,Low Value
12575.0,622.8199999999999,Medium Value
12576.0,2142.72,High Value
12577.0,1617.1,High Value
12578.0,4642.45,High Value
12579.0,440.42,Low Value
12580.0,1052.9,High Value
12581.0,197.71,Low Value
12582.0,1980.4,High Value
12583.0,13591.58,High Value
12584.0,2338.15,High Value
12585.0,2040.1,High Value
12586.0,2062.67,High Value
12587.0,144.0,Low Value
12588.0,958.78,Medium Value
12589.0,4695.66,High Value
12590.0,9864.26,High Value
12591.0,1338.95,High Value
12592.0,2582.66,High Value
12593.0,418.09999999999997,Low Value
12594.0,5090.110000000001,High Value
12595.0,299.02,Low Value
12596.0,618.27,Medium Value
12597.0,3811.22,High Value
12598.0,4534.09,High Value
12599.0,2296.72,High Value
12600.0,4967.42,High Value
12601.0,681.26,Medium Value
12602.0,153.12,Low Value
12603.0,739.1999999999999,Medium Value
12604.0,254.18,Low Value
12605.0,1232.95,High Value
12606.0,21.0,Low Value
12607.0,1579.51,High Value
12608.0,415.79,Low Value
12609.0,3435.86,High Value
12610.0,2099.54,High Value
12611.0,1193.32,High Value
12612.0,704.0400000000001,Medium Value
12613.0,6817.37,High Value
12614.0,315.6,Low Value
12615.0,5740.98,High Value
12616.0,1131.1,High Value
12617.0,352.98,Low Value
12618.0,177.31,Low Value
12619.0,3781.38,High Value
12620.0,1339.41,High Value
12621.0,24311.2,High Value
12622.0,180.1,Low Value
12623.0,3747.84,High Value
12624.0,641.13,Medium Value
12625.0,5164.88,High Value
12626.0,6620.48,High Value
12627.0,4478.53,High Value
12628.0,786.46,Medium Value
12629.0,1558.22,High Value
12630.0,1270.88,High Value
12631.0,3481.57,High Value
12632.0,804.88,Medium Value
12633.0,5678.16,High Value
12634.0,490.0,Low Value
12635.0,2930.41,High Value
12636.0,141.0,Low Value
12637.0,8283.81,High Value
12638.0,921.49,Medium Value
12639.0,1312.37,High Value
12640.0,1174.58,High Value
12641.0,185.9,Low Value
12642.0,1013.26,High Value
12643.0,8304.82,High Value
12644.0,1918.49,High Value
12645.0,3539.3,High Value
12646.0,1346.97,High Value
12647.0,16955.55,High Value
12648.0,1112.0,High Value
12649.0,2294.65,High Value
12650.0,314.44,Low Value
12651.0,377.75,Low Value
12652.0,1017.03,High Value
12653.0,4160.83,High Value
12654.0,601.98,Medium Value
12655.0,261.35,Low Value
12656.0,6407.83,High Value
12657.0,1643.18,High Value
12658.0,686.05,Medium Value
12659.0,91.68,Low Value
12660.0,245.1,Low Value
12661.0,162.0,Low Value
12662.0,6726.54,High Value
12663.0,239.4,Low Value
12664.0,6070.04,High Value
12665.0,313.6,Low Value
12666.0,1248.42,High Value
12667.0,620.13,Medium Value
12668.0,11383.03,High Value
12669.0,2744.0299999999997,High Value
12670.0,3760.29,High Value
12671.0,2622.481,High Value
12672.0,437.05,Low Value
12673.0,1230.02,High Value
12674.0,1970.6,High Value
12675.0,957.25,Medium Value
12676.0,2843.09,High Value
12677.0,395.1,Low Value
12678.0,34281.18,High Value
12679.0,1113.02,High Value
12680.0,880.81,Medium Value
12681.0,29834.76,High Value
12682.0,22950.22,High Value
12683.0,11633.7,High Value
12684.0,2283.63,High Value
12685.0,2863.08,High Value
12686.0,89.14,Low Value
12687.0,2138.91,High Value
12688.0,4873.8099999999995,High Value
12689.0,1247.61,High Value
12690.0,389.01,Low Value
12691.0,1170.4,High Value
12692.0,110.95,Low Value
12693.0,1703.02,High Value
12694.0,1843.35,High Value
12695.0,1407.1200000000001,High Value
12696.0,851.91,Medium Value
12697.0,957.59,Medium Value
12698.0,339.75,Low Value
12699.0,638.11,Medium Value
12700.0,4939.99,High Value
12701.0,2446.41,High Value
12702.0,219.0,Low Value
12703.0,1006.53,High Value
12704.0,2340.84,High Value
12705.0,11762.1,High Value
12707.0,603.42,Medium Value
12708.0,5117.66,High Value
12709.0,30291.76,High Value
12710.0,1149.02,High Value
12711.0,1339.05,High Value
12712.0,6723.03,High Value
12713.0,848.55,Medium Value
12714.0,14093.71,High Value
12715.0,343.36,Low Value
12716.0,1053.49,High Value
12717.0,1308.91,High Value
12718.0,238.25,Low Value
12719.0,644.95,Medium Value
12720.0,7787.28,High Value
12721.0,4013.08,High Value
12722.0,997.63,Medium Value
12723.0,725.07,Medium Value
12724.0,2317.52,High Value
12725.0,2266.76,High Value
12726.0,4014.6,High Value
12727.0,5679.53,High Value
12728.0,1070.17,High Value
12729.0,453.01,Low Value
12730.0,829.25,Medium Value
12731.0,25775.71,High Value
12732.0,236.26000000000002,Low Value
12733.0,2424.87,High Value
12734.0,639.65,Medium Value
12735.0,779.5699999999999,Medium Value
12736.0,234.0,Low Value
12737.0,3710.5,High Value
12738.0,155.35,Low Value
12739.0,2726.73,High Value
12740.0,427.6,Low Value
12741.0,406.07,Low Value
12742.0,1201.52,High Value
12743.0,540.13,Medium Value
12744.0,25317.06,High Value
12745.0,925.41,Medium Value
12746.0,254.55,Low Value
12747.0,8898.48,High Value
12748.0,53539.64,High Value
12749.0,6897.36,High Value
12750.0,275.88,Low Value
12751.0,268.27,Low Value
12752.0,4366.78,High Value
12753.0,21429.39,High Value
12754.0,3010.74,High Value
12755.0,5236.259999999999,High Value
12756.0,112.07999999999998,Low Value
12757.0,7834.650000000001,High Value
12758.0,9903.24,High Value
12759.0,5020.74,High Value
12760.0,347.8,Low Value
12761.0,782.95,Medium Value
12762.0,1898.52,High Value
12763.0,494.08,Low Value
12764.0,1693.88,High Value
12765.0,1404.58,High Value
12766.0,8918.99,High Value
12767.0,949.82,Medium Value
12768.0,168.69000000000003,Low Value
12769.0,1143.6,High Value
12770.0,3246.45,High Value
12771.0,282.3,Low Value
12772.0,892.47,Medium Value
12773.0,124.25,Low Value
12774.0,98.7,Low Value
12775.0,1686.12,High Value
12776.0,55.5,Low Value
12777.0,519.45,Medium Value
12778.0,1775.68,High Value
12779.0,6474.11,High Value
12780.0,337.4,Low Value
12781.0,826.74,Medium Value
12782.0,4618.24,High Value
12783.0,2225.91,High Value
12784.0,1763.15,High Value
12785.0,1100.4,High Value
12786.0,728.5,Medium Value
12787.0,862.18,Medium Value
12788.0,444.9,Low Value
12789.0,273.35,Low Value
12790.0,591.85,Medium Value
12791.0,863.51,Medium Value
12792.0,827.01,Medium Value
12793.0,885.53,Medium Value
12794.0,860.41,Medium Value
12795.0,430.48,Low Value
12796.0,381.0,Low Value
12797.0,552.08,Medium Value
12798.0,8510.93,High Value
12799.0,219.35,Low Value
12800.0,584.25,Medium Value
12801.0,1071.82,High Value
12802.0,2416.42,High Value
12803.0,1092.81,High Value
12804.0,325.37,Low Value
12805.0,1434.95,High Value
12806.0,2878.96,High Value
12807.0,330.35,Low Value
12808.0,776.7,Medium Value
12809.0,1755.94,High Value
12810.0,534.99,Medium Value
12811.0,1033.9,High Value
12812.0,229.64000000000001,Low Value
12813.0,1687.8,High Value
12814.0,125.92,Low Value
12815.0,1063.46,High Value
12816.0,572.2,Medium Value
12817.0,690.98,Medium Value
12818.0,1542.08,High Value
12819.0,540.52,Medium Value
12820.0,2689.52,High Value
12821.0,220.8,Low Value
12822.0,948.88,Medium Value
12823.0,6501.5,High Value
12824.0,397.12,Low Value
12825.0,518.63,Medium Value
12826.0,2800.75,High Value
12827.0,430.15000000000003,Low Value
12828.0,1018.71,High Value
12829.0,385.3,Low Value
12830.0,6814.64,High Value
12831.0,451.11,Low Value
12832.0,383.03,Low Value
12833.0,417.38,Low Value
12834.0,312.38,Low Value
12835.0,5996.83,High Value
12836.0,6559.7300000000005,High Value
12837.0,662.66,Medium Value
12838.0,2975.91,High Value
12839.0,9669.12,High Value
12840.0,4041.97,High Value
12841.0,6958.2,High Value
12842.0,1917.99,High Value
12843.0,6583.36,High Value
12844.0,648.6,Medium Value
12845.0,354.09,Low Value
12846.0,15.58,Low Value
12847.0,1609.0,High Value
12848.0,208.0,Low Value
12849.0,3042.47,High Value
12850.0,330.0,Low Value
12851.0,280.76,Low Value
12852.0,311.55,Low Value
12853.0,3907.5,High Value
12854.0,2970.9700000000003,High Value
12855.0,612.84,Medium Value
12856.0,2170.78,High Value
12857.0,3688.0,High Value
12858.0,147.27,Low Value
12859.0,575.1,Medium Value
12860.0,54.22,Low Value
12861.0,68.25,Low Value
12862.0,984.62,Medium Value
12863.0,2792.5499999999997,High Value
12864.0,299.57,Low Value
12865.0,3323.47,High Value
12866.0,1227.35,High Value
12867.0,7829.26,High Value
12868.0,2043.76,High Value
12869.0,337.66999999999996,Low Value
12870.0,1676.95,High Value
12871.0,744.02,Medium Value
12872.0,3283.96,High Value
12873.0,2027.3,High Value
12874.0,948.42,Medium Value
12875.0,1356.99,High Value
12876.0,4081.79,High Value
12877.0,2942.14,High Value
12878.0,854.99,Medium Value
12879.0,573.22,Medium Value
12880.0,640.13,Medium Value
12881.0,298.0,Low Value
12882.0,1463.04,High Value
12883.0,703.47,Medium Value
12884.0,309.05,Low Value
12885.0,1175.22,High Value
12886.0,1378.4,High Value
12887.0,222.4,Low Value
12888.0,354.12,Low Value
12889.0,385.46000000000004,Low Value
12890.0,706.02,Medium Value
12891.0,840.5,Medium Value
12892.0,263.38,Low Value
12893.0,176.55,Low Value
12894.0,157.35,Low Value
12895.0,372.8,Low Value
12897.0,514.25,Medium Value
12898.0,296.21000000000004,Low Value
12899.0,366.4,Low Value
12900.0,340.33,Low Value
12901.0,17654.54,High Value
12902.0,138.68,Low Value
12903.0,833.53,Medium Value
12904.0,496.06,Low Value
12905.0,1018.42,High Value
12906.0,2919.81,High Value
